coloquial_term,standard_term
dolor de cabeza,cefalea
gripe,influenza
hipertension,hipertension esencial
sensibilidad a la luz,fotofobia
vision borrosa,vision subnormal
dificultad para respirar,disnea
falta de aire,disnea
cansancio,fatiga
ojos llorosos,epifora
picazon,prurito
ardor de estomago,pirosis
acidez estomacal,pirosis
vomito,nausea y vomito
nauseas,nausea y vomito
mareo,vertigo
fiebre alta,hipertermia
dolor de panza,dolor abdominal
dolor de barriga,dolor abdominal
dolorcito,dolor
escalofrios,escalofrio
erupcion,rash
diarrea,diarrea
covid,coronavirus
covid19,coronavirus
infeccion de garganta,faringitis
