coloquial_term,standard_term
dolor de cabeza,cefalea
dolorcito de cabeza,cefalea
dolores de cabeza,cefalea
dolorcito,cefalea
dolor cabeza,cefalea
dolor cabezita,cefalea
cabeza me duele,cefalea
gripe,influenza
la gripe,influenza
estar agripado,influenza
agripado,influenza
gripita,influenza
gripazo,influenza
hipertension,hipertension esencial
hipertensión,hipertension esencial
presion alta,hipertension esencial
presión alta,hipertension esencial
tension alta,hipertension esencial
tensión alta,hipertension esencial
alta presión,hipertension esencial
sensibilidad a la luz,fotofobia
sensibilidad luz,fotofobia
molestia con la luz,fotofobia
me molesta la luz,fotofobia
vision borrosa,vision subnormal
visión borrosa,vision subnormal
veo borroso,vision subnormal
veo nublado,vision subnormal
veo mal,vision subnormal
dificultad para respirar,disnea
dificultad respirar,disnea
dificil respirar,disnea
me cuesta respirar,disnea
falta de aire,disnea
falta aire,disnea
sin aire,disnea
cansancio,fatiga
cansado,fatiga
estar cansado,fatiga
muy cansado,fatiga
cansancio extremo,fatiga
fatiga,fatiga
ojos llorosos,epifora
ojos lagrimosos,epifora
lagrimeo,epifora
ojos con lágrimas,epifora
picazon,prurito
picazón,prurito
me pica,prurito
pica mucho,prurito
ardor de estomago,pirosis
ardor estomago,pirosis
ardor estómago,pirosis
acidez estomacal,pirosis
acidez,pirosis
reflujo,pirosis
vomito,nausea y vomito
vómito,nausea y vomito
vomitos,nausea y vomito
vómitos,nausea y vomito
ganas de vomitar,nausea y vomito
nauseas,nausea y vomito
náuseas,nausea y vomito
me siento con nausea,nausea y vomito
mareo,vertigo
mareos,vertigo
me mareo,vertigo
estoy mareado,vertigo
fiebre alta,hipertermia
mucha fiebre,hipertermia
fiebrón,hipertermia
temperatura alta,hipertermia
dolor de panza,dolor abdominal
dolor panza,dolor abdominal
dolor de barriga,dolor abdominal
dolor barriga,dolor abdominal
dolor estómago,dolor abdominal
dolor de estomago,dolor abdominal
dolor estomago,dolor abdominal
dolorcito de barriga,dolor abdominal
escalofrios,escalofrio
escalofríos,escalofrio
me dan escalofrios,escalofrio
erupcion,rash
erupción,rash
salpullido,rash
salpullido en piel,rash
ronchas,rash
diarrea,diarrea
diarreas,diarrea
estómago suelto,diarrea
estomago suelto,diarrea
covid,coronavirus
covid19,coronavirus
covid 19,coronavirus
covid-19,coronavirus
corona virus,coronavirus
infeccion de garganta,faringitis
infección de garganta,faringitis
dolor garganta,faringitis
dolor de garganta,faringitis
garganta irritada,faringitis
